variable,value,label,meta
P31D,NA,31. ¿Qué usos le da a su celular?,varlab
P31D,1,Llamadas telefónicas,NA
P31D,2,Mensajes de texto SMS,NA
P31D,3,Escuchar música,NA
P31D,4,Ver videos,NA
P31D,5,Juegos,NA
P31D,6,Conectarse a Internet,NA
P31D,7,Sacar fotos,NA
P31D,8,Otro,NA
P31E,NA,31. ¿Qué usos le da a su celular?,varlab
P31E,1,Llamadas telefónicas,NA
P31E,2,Mensajes de texto SMS,NA
P31E,3,Escuchar música,NA
P31E,4,Ver videos,NA
P31E,5,Juegos,NA
P31E,6,Conectarse a Internet,NA
P31E,7,Sacar fotos,NA
P31E,8,Otro,NA
P31G,NA,31. ¿Qué usos le da a su celular?,varlab
P31G,1,Llamadas telefónicas,NA
P31G,2,Mensajes de texto SMS,NA
P31G,3,Escuchar música,NA
P31G,4,Ver videos,NA
P31G,5,Juegos,NA
P31G,6,Conectarse a Internet,NA
P31G,7,Sacar fotos,NA
P31G,8,Otro,NA
