variable,value,label,meta
P152,10,"Sin empleo, no busca",NA
P153,NA,153. Nivel de instrucción del jefe de hogar,varlab
P153,1,Primaria o menos,NA
P153,2,Secundaria incompleta,NA
P153,3,Secundaria completa,NA
P153,4,Técnico,NA
P153,5,"Educ. terciaria (FFAA, Policía, Normal)",NA
P153,6,Universidad incompleta,NA
P153,7,Universidad completa,NA
P153,8,Posgrado,NA
P154A,NA,154. El jefe de hogar tiene ?,varlab
P154A,1,En empleo/trabajo permanente y estable,NA
P154A,2,A veces tiene trabajo y a veces no,NA
P154A,3,La mayor parte del tiempo no tiene trabajo,NA
P154A,4,No tiene trabajo,NA
P154A,5,Otro,NA
P154B,NA,154. Otro,varlab
P155,NA,155. ¿Cuál es el ingreso mensual promedio en su hogar?,varlab
P155,1,Hasta 1400 Bs.,NA
P155,2,1.401-3.500 Bs.,NA
P155,3,3.501-5.000 Bs.,NA
P155,4,5.001-7.000 Bs.,NA
P155,5,7.001-10.000 Bs.,NA
P155,6,10.000-14.000Bs.,NA
P155,7,14.000-21.000Bs.,NA
P155,8,M?s de 21.000 Bs.,NA
P156A,NA,156. Tiene agua potable en la vivienda?,varlab
P156A,1,Si,NA
P156A,2,No,NA
P156B,NA,156. Tiene alcantarillado?,varlab
P156B,1,Si,NA
P156B,2,No,NA
P156C,NA,156. Tiene servicio de energía eléctrica?,varlab
P156C,1,Si,NA
P156C,2,No,NA
P156D,NA,156. Tiene lavadora de ropa?,varlab
P156D,1,Si,NA
P156D,2,No,NA
P156E,NA,156. Tiene microondas?,varlab
P156E,1,Si,NA
P156E,2,No,NA
P156F,NA,156. Tiene calefón o ducha caliente?,varlab
P156F,1,Si,NA
P156F,2,No,NA
P156G,NA,156. Tiene tarjeta de crédito?,varlab
P156G,1,Si,NA
P156G,2,No,NA
P156H,NA,156. Tiene casa propia?,varlab
P156H,1,Si,NA
P156H,2,No,NA
P156I,NA,156. Cantidad de baños en su vivienda,varlab
P156J,NA,"156. Automóvil de uso particular, de 2012 o más reciente?",varlab
P156J,1,Si,NA
P156J,2,No,NA
P156K,NA,156. En los últimos 5 años realizó algún viaje de vacaciones fuera de América Latina en familia?,varlab
P156K,1,Si,NA
P156K,2,No,NA
P157,NA,"157. ¿Cuántas personas viven regularmente con usted, aunque no sean sus familiares?",varlab
P158,NA,158. Departamento,varlab
P158,1,La Paz,NA
P158,2,Chuquisaca,NA
P158,3,Cochabamba,NA
P158,4,Santa Cruz,NA
P158,5,Oruro,NA
P158,6,Potosí,NA
P158,7,Tarija,NA
P158,8,Beni,NA
P158,9,Pando,NA
P159,NA,159. Tipo de localidad,varlab
P159,1,Ciudad Capital,NA
P159,2,Ciudades intermedias,NA
P159,3,Localidades Rurales de menos de 2.000 hab,NA
P160,NA,160. Nombre de la localidad,varlab
CodP160,NA,Codigo del nombre de la localidad,varlab
CodP160,1,Agua Clara,NA
CodP160,2,Agua Rica,NA
CodP160,3,Amaya Pampa,NA
CodP160,4,Anamal,NA
CodP160,5,Avaroa,NA
CodP160,6,Avaroa (La Paz),NA
CodP160,7,Cachichira,NA
CodP160,8,Cala Cala,NA
CodP160,9,Camargo,NA
CodP160,10,Camiri,NA
CodP160,11,Caranavi,NA
CodP160,12,Carapari,NA
CodP160,13,Chajra Khasa,NA
CodP160,14,Challapata,NA
CodP160,15,Chayanta,NA
CodP160,16,Cobija,NA
CodP160,17,Cochabamba,NA
CodP160,18,Colomi,NA
CodP160,19,Colquencha,NA
CodP160,20,Comarapa,NA
CodP160,21,Cotoca,NA
CodP160,22,Cruce Culta,NA
CodP160,23,Dorado Grande,NA
CodP160,24,El Alto,NA
CodP160,25,El Carmen Rivero,NA
CodP160,26,El Común,NA
CodP160,27,Fátima,NA
CodP160,28,Huasa Cañada,NA
CodP160,29,Huañacahua,NA
CodP160,30,Irpa Irpa,NA
CodP160,31,Ixiamas,NA
CodP160,32,Jatuquira,NA
CodP160,33,La Paz,NA
CodP160,34,La Plateada,NA
CodP160,35,Lagunillas,NA
CodP160,36,Llallaguita,NA
CodP160,37,Los Sotos,NA
CodP160,38,Machac Huyo,NA
CodP160,39,Mallku Originario,NA
CodP160,40,Mineros,NA
CodP160,41,Molinos,NA
CodP160,42,Nueva Esperanza,NA
CodP160,43,Oploca,NA
CodP160,44,Oruro,NA
CodP160,45,Papagayo,NA
CodP160,46,Pata Pata,NA
CodP160,47,Pata Pata/ Chuchini,NA
CodP160,48,Patacamaya,NA
CodP160,49,Piedritas,NA
CodP160,50,Porvenir,NA
CodP160,51,Potosi,NA
CodP160,52,Potosí,NA
CodP160,53,Pueblo Nuevo,NA
CodP160,54,Puerto Quijarro,NA
CodP160,55,Pulacayo,NA
CodP160,56,Punata,NA
CodP160,57,Quebrada León,NA
CodP160,58,Quime,NA
CodP160,59,Riberalta,NA
CodP160,60,Roboré,NA
CodP160,61,Rurrenabaque,NA
CodP160,62,San Benito,NA
CodP160,63,San Borja,NA
CodP160,64,San Ignacio,NA
